s,A_trim,A_bank,w_trim,w_bank,d_trim,d_bank,R_trim,R_bank,reliable,sL,sR,ratio
25.0,2.8885498046875,81.15274047851562,4.962829360662955,28.901875,1.097900390625,6.10107421875,0.5703578496496166,2.5414278598995543,False,capped,capped,28.09463085830199
40.0,0.028564453125,92.7420654296875,2.992888984235912,30.18430884184309,0.05712890625,6.7418212890625,0.02516569306188465,2.7395716668205883,False,capped,capped,3246.764957264957
50.0,0.9642333984375,73.39273071289062,5.2684946913154365,27.970468890892697,0.4453125,5.3560791015625,0.2247124451010768,2.4156555718684727,False,capped,capped,76.1151095075326
55.0,3.63165283203125,77.54953002929688,5.7216399478926725,28.377272727272725,1.106201171875,5.9034423828125,0.5800969555772011,2.482277288249042,False,capped,capped,21.35378397001731
65.0,0.6239013671875,75.0645751953125,3.5948119026107,28.27931214174049,0.477783203125,6.0472412109375,0.23086261112012216,2.3987226168647644,False,capped,capped,120.31481119154765
70.0,0.34893798828125,68.44671630859375,3.459830705741306,27.481726111845003,0.2855224609375,5.730712890625,0.2193341431428924,2.2742265671894506,False,capped,capped,196.1572503061046
190.0,2.067138671875,37.968536376953125,5.246899558000894,24.23014991671294,0.9061279296875,3.8116455078125,0.45922828365515933,1.4838470040673477,False,capped,capped,18.36767745364356
195.0,3.288360595703125,46.372039794921875,5.632577711980694,24.537169603524227,1.177978515625,4.1319580078125,0.5840877917859956,1.7717564863342956,False,capped,capped,14.101871873636929
200.0,2.555145263671875,43.448089599609375,5.511176215499468,20.684104046242773,0.9613037109375,4.339111328125,0.5738707581304643,1.901281685403461,False,capped,crest,17.00415636533018
205.0,3.697723388671875,69.34231567382812,5.475249208515007,28.160714285714285,1.263916015625,5.5010986328125,0.6549086596260589,2.271226015633047,False,capped,capped,18.75270494441556
210.0,3.847747802734375,71.90625,4.9966045656355185,28.494714587737846,1.1834716796875,5.7601318359375,0.7392152644395499,2.335511555955964,False,capped,capped,18.687880205896118
215.0,2.125,58.548248291015625,4.263410479501211,22.935018610421835,0.85986328125,5.060302734375,0.5657942638718708,2.336897769733952,False,capped,crest,27.552116842830884
220.0,1.576019287109375,78.68753051757812,4.28652838399456,30.784399999999998,0.7236328125,5.640380859375,0.41886621828270676,2.4023573900609656,False,capped,capped,49.928025095366266
225.0,2.575042724609375,76.7459716796875,4.6077791568203885,30.624191461837,0.9976806640625,5.5074462890625,0.5864507762133477,2.3432265573595705,False,capped,capped,29.803766339966106
230.0,1.58013916015625,62.88946533203125,4.579009718259014,27.331632653061224,0.919921875,5.574462890625,0.4372301820675625,2.127585225839079,False,capped,capped,39.7999536482676
235.0,1.000732421875,63.09326171875,4.333695541345861,26.306849315068494,0.6129150390625,5.3016357421875,0.302601218395694,2.228809141039187,False,capped,capped,63.04708465479385
240.0,1.31756591796875,76.99481201171875,3.8190839161758374,29.395833333333336,0.818115234375,6.234375,0.3660144476817165,2.4199191810978027,False,capped,capped,58.4371612544587
245.0,2.77337646484375,77.06146240234375,4.287340736941887,29.759561448240696,1.2633056640625,6.2869873046875,0.6597528727622565,2.3679525266574757,False,capped,capped,27.786152864279583
250.0,2.44195556640625,63.23199462890625,4.595479789819443,27.14256339958876,1.0341796875,5.5269775390625,0.5031307555425168,2.13237896070376,False,capped,capped,25.893998850258694
255.0,3.988861083984375,68.24679565429688,4.961594229233224,27.7049365942029,1.4815673828125,5.9921875,0.7339807745658558,2.240356020121792,False,capped,capped,17.109343799490464
260.0,2.014373779296875,63.245758056640625,4.304758889714093,26.741778006166495,0.8853759765625,5.553466796875,0.512667884619335,2.1724451337702226,False,capped,capped,31.39723059675489
265.0,3.33795166015625,63.186431884765625,5.344449258254967,25.858713762079304,1.1898193359375,5.4705810546875,0.659936308453351,2.258937267010022,False,capped,capped,18.929702499588583
270.0,4.682281494140625,57.48004150390625,7.003539614272414,25.327593448131037,1.2313232421875,4.67724609375,0.6721491984022909,2.13560501358146,False,capped,crest,12.276075578932275
